description,issue_type,key,labels,summary
"A community member found a handful of variable names that are misspelled. This is to correct those misspelled names.

{noformat}
-step ""should allow param class defaults to be overriden""
+step ""should allow param class defaults to be overridden""

-        fail(Issues::ILLEGAL_OVERRIDEN_TYPE, o, {:actual => r} )
+        fail(Issues::ILLEGAL_OVERRIDDEN_TYPE, o, {:actual => r} )

-  ILLEGAL_OVERRIDEN_TYPE = issue :ILLEGAL_OVERRIDEN_TYPE, :actual do
+  ILLEGAL_OVERRIDDEN_TYPE = issue :ILLEGAL_OVERRIDDEN_TYPE, :actual do

-    @non_convertable ||= [OpenSSL::ASN1::EndOfContent,
+    @non_convertible ||= [OpenSSL::ASN1::EndOfContent,

-  def canonalize_ifname(interface)
+  def canonicalize_ifname(interface)

-    attr_accessor :resource_list, :requires, :childs, :realizes
+    attr_accessor :resource_list, :requires, :children, :realizes
{noformat}",Task,PUP-8408,[],Fix misspelled variable and method names in puppet
"*Puppet Version:* 5.3.x
*Puppet Server Version:* n/a

Running puppet benchmarks fails:

{noformat}
$ bx rake benchmark:many_modules:run
mkdir -p /var/folders/8m/d6146zxd6bv_3h8y4ykvvxh40000gn/T/many_modules20180130-73932-2mw6bc
                 user     system      total        real
Run 1      rake aborted!
no implicit conversion of nil into String
/Users/josh/work/puppet/lib/puppet/module.rb:316:in `join'
/Users/josh/work/puppet/lib/puppet/module.rb:316:in `has_translations?'
/Users/josh/work/puppet/lib/puppet/gettext/module_translations.rb:12:in `block in load_from_modulepath'
/Users/josh/work/puppet/lib/puppet/gettext/module_translations.rb:11:in `each'
/Users/josh/work/puppet/lib/puppet/gettext/module_translations.rb:11:in `load_from_modulepath'
/Users/josh/work/puppet/lib/puppet/node/environment.rb:444:in `use_text_domain'
/Users/josh/work/puppet/lib/puppet/indirector/catalog/compiler.rb:52:in `find'
{noformat}

The issue is that puppet sets FastGettext.default_available_locales to nil to prevent FastGettext from selecting the best available default locale. Later puppet's Rakefile loads the gettext-setup gem. It sets FastGettext.default_available_locales to empty string (instead of nil). This activates the ""available locales"" machinery in FastGettext. Then GettextSetup.initialize tries to set the default locale, which due to the empty array causes the default locale to be set to nil.

{noformat}
(byebug) best_locale_in(new_locale)
nil
(byebug) new_locale
""en""
{noformat}

This is only an issue when running puppet via the Rakefile, e.g. benchmarks and {{rake parallel:spec}}, not when puppet is running from source, e.g. {{bundle exec puppet agent}} or from packages.",Bug,PUP-8407,[],Puppet benchmarks fail due to gettext-setup initialization
This means using it requires translation from bolt task output and does not align with our standard API data representation of hashes that use 'msg'. The error datatype should be updates to create data hashes that include {{msg}} not {{message}} keys and it should expect that key when it is instantiated from a hash.,Bug,PUP-8406,[],Puppet Error datatype uses 'message' not 'msg' as hash key
"When defining multiple levels of hierarchy in hiera.yaml (more than 3), and requesting hiera to lookup a key that is found on more than 3 levels, and lookup options for that key are configured to merge deep with a knockout prefix, the merge fails to knockout the key matching the higher precedence knockout.

Steps to reproduce:

{code:yaml}
hiera.yaml:
 version: 5
 defaults:         
   datadir: data
   data_hash: yaml_data

 hierarchy:
   - name: node specific data
     path: node/%{::site.node}.yaml

   - name: product data
     path: product/%{::site.product}.yaml

   - name: os data
     path: os/%{::os.family}.yaml

   - name: global data
     path: common.yaml
	
common.yaml:
  lookup_options:
    classes:
      merge:
        strategy: deep
        knockout_prefix: --
  classes:
    - profiles::motd
    - profiles::network

os/RedHat.yaml:
  classes:
    - profiles::yum

product/product.yaml
 classes:
   - profiles::application

node/node.yaml:
 classes:
   - --profiles::network
   - network
{code}

*Expected*

{code:java}
puppet lookup --knock-out-prefix '--' --merge deep classes
---
- profiles::motd
- profiles::yum
- profiles::application
- network
{code}

*Actual*

{code:java}
puppet lookup --knock-out-prefix '--' --merge deep classes
---
- profiles::motd
- profiles::network
- profiles::yum
- profiles::application
- network
{code}

Removing a layer from the hierarchy causes the merge to behave as expected. The difference being:

{code:java}
puppet lookup --knock-out-prefix '--' --merge deep classes | grep 'Found key:' | wc -l
4
{code}
vs
{code:java}
puppet lookup --knock-out-prefix '--' --merge deep classes | grep 'Found key:' | wc -l
3
{code}

*Verified Affected Versions*
Puppet 4.10.0
Puppet 4.10.9
Puppet 5.3.1",Bug,PUP-8405,[],Knock-out-prefix fails with more than 3 merges
"*Puppet Version:* 4.10.9
*Puppet Server Version:* 2.8.0
*OS Name/Version:* linux

Trying to use {{ssh_authorized_key}} when the parent folder of {{.ssh}} doesn't belong to the target user leads to a slightly misleading ""permission denied"" error during {{mkdir}}. This happens because {{ssh_authorized_key}} runs {{mkdir}} as the target user, which might not be directly clear. Especially since it's not the same behaviour as an explicit {{file}} resource with {{owner}} set to the same target user (create as root than {{chown}} to target user).

*Desired Behavior:*

Output of puppet run with {{--debug}}:

{code}
Debug: Creating /somefolder/.ssh as someuser
Error: /Stage[main]/Main/Ssh_authorized_key[someuser]: Could not evaluate: Permission denied @ dir_s_mkdir - /somefolder/.ssh
{code}

*Actual Behavior:*

Output of puppet run with {{--debug}}:

{code}
Debug: Creating /somefolder/.ssh
Error: /Stage[main]/Main/Ssh_authorized_key[someuser]: Could not evaluate: Permission denied @ dir_s_mkdir - /somefolder/.ssh
{code}
",Improvement,PUP-8404,[],ssh_authorized_key should mention effective uid on debug output
"*Puppet Version: {{puppet-agent-5.3.3.573.g26bbd71-x64.msi}}*
*Puppet Server Version: {{noarch 5.2.0.master-0.1SNAPSHOT.2018.01.27T1057.el7}}*
*OS Name/Version: Windows - All versions*

Failures on imaging acceptance tests on most or all Windows PA  acceptance suite runs.
Test case summary:
{noformat}
20:06:25               - Test Case Summary for suite 'tests' -
20:06:25        Total Suite Time: 5375.65 seconds
20:06:25       Average Test Time: 15.36 seconds
20:06:25               Attempted: 350
20:06:25                  Passed: 295
20:06:25                  Failed: 0
20:06:25                 Errored: 2
20:06:25                 Skipped: 52
20:06:25                 Pending: 1
20:06:25                   Total: 350
{noformat}

Test Cases:
* tests/direct_puppet/supports_utf8.rb - [Gist|https://gist.github.com/jcoconnor/e912b44911c66219df20223c06307499]
* tests/environment/variables_refreshed_each_compilation.rb - [Gist|https://gist.github.com/jcoconnor/d66b2d01f9015db4617f0b4810b86c99]

Jenkins log available at: https://jenkins-imaging.delivery.puppetlabs.net/view/Win-Acpt/job/imaging_win-2008r2_x86_64_vmware_vsphere.cygwin_run_pa_component_acceptance_tests_packer/1/consoleFull
",Bug,PUP-8403,[],Puppet Acceptance Test Failures in imaging testing
"Arista puppet acceptance failed on master last night with no space left on device:

https://jenkins-master-prod-1.delivery.puppetlabs.net/job/platform_puppet-agent_puppet-agent-integration-suite_daily-master/COMPONENT=puppet,SLAVE_LABEL=beaker,TEST_TARGET=arista4-32a/74/console

A matrix reload didn't fix this. It only appears to happen on master at this point - arista cells on 1.10.x and 5.3.x runs from last night and yesterday were green.

I installed the puppet-agent package from that run on a fresh arista vm from the pooler, and disk usage on / went from 34% to 90% of its total ~300 Mb. This doesn't appear to be unusual - the 1.10.x agent is a similar size (only 1% difference in the result).",CI Blocker,PUP-8401,['transient'],Arista puppet acceptance tests fail with no space left on device
Need to disable the new rubocop Style/SafeNavigation:,Task,PUP-8400,[],new rubocop Style/SafeNavigation: needs to be disabled
"*Puppet Version:*2016.4.5
*Puppet Server Version:*
*OS Name/Version: Windows 2012 R2

*Test Setup*
A password and username in encrypted and stored in Hiera.
These are passed to example.pp which consists of:

{code:puppet}
exec{
command => ''examplecommand --username $testuser --password $testpass"",
path => facts[$path],
logoutput =>true
}
{code}

For some reason the above exec fails, the output displays failed password. The same applies when I try to create ps1 files from template and assign parameters within. All the information is displayed in puppet logs.
Is there a way to not log any error out(just a failure notice)/mask the password in log.

Want to know what is the best way to achieve this.

*Desired Behavior:*
Passwords not to be displayed in error log.

*Actual Behavior:*
Passwords from command/scripts from powershell on exec failure.

",Improvement,PUP-8399,[],Exec onlyif and unless should support sensitive data
Fix the indenting in the files objectadd.rb and pw.rb,Task,PUP-8398,[],Fix indenting in objectadd.rb and pw.rb
"We need to address a couple problems with the test:
* The test fails to work on amazon linux where the 'facter fqdn' which we use in the puppet code does not match up with the 'agent.hostname', so we need to really get the fqdn and use that when referencing the node
* The test direct_puppet/supports_utf8.rb fails on solaris11-64 boxes because LANG=C when you ssh over to run commands. Since puppet is showing the diff of a file with UTF-8 characters in it, it blows up because the Ruby has set default_external to a non-UTF-8 character set.
** Continue to skip platforms on 4.10.x
** This isn't a problem on 5.3.x and we should enable all the platforms to run on more if not all platforms
",Task,PUP-8397,[],review and fix direct_puppet/supports_utf8.rb test fails on solaris and cisco where LANG=C
"*Puppet Version:* 5.3.3
*Puppet Server Version:* 5.3.3
*OS Name/Version:* Ubuntu 16.04

Describe your issue in as much detail as possible…

In 16.04 when using puppet resource service, it bombs out if some of the services aren't using systemd, and trying to contact upstart, we should be handling this error better 

Describe steps to reproduce…

It seems that a vanilla install of Ubuntu 16.x is OK, however when intalling additional Ubuntu packages such as the GUI, we se this error

To reproduce

Install Ubuntu 16.04

Install the desktop packages


{code:java}
sudo apt-get update
sudo apt-get install ubuntu-desktop
reboot
{code}

Login via the GUI and open up a terminal or  SSH into the server

run puppet resource service 

and you will get the error 


{code:java}
Debug: Executing '/sbin/initctl list'
Error: Could not run: #<IO:0x00000000017b6cf8>
{code}

Debug run attached


*Desired Behavior:*

When the service cannot connect to jumpstart/returns it shouldn't break the command, the error should be handled and the services are returned 

*Actual Behavior:*

The command errors out 


Please take a moment and attach any relevant log output and/or manifests. This will help us immensely when troubleshooting the issue.

Attached 


",Bug,PUP-8396,"['cs_pr_review', 'cspapercuts', 'linux', 'sadness', 'service', 'triaged', 'type_and_provider', 'ubuntu']",Puppet Resource Service fails on Debian/Ubuntu when non systemd service is called
"In Linux, Puppet typically runs as root (full privileges) and can leverage the exec resource's user parameter to run a command as a local user. 

In Windows, this parity is lacking and it's increasingly causing problems for Puppet users. It would be nice to run things as a local user.

This issue is further compounded by common Microsoft System Administration use cases, where various pieces of software are installed and run as domain service accounts. For instance, the SQL Server module does it with [some gnarly Ruby in a provider to set domain credentials in 3 places | https://github.com/puppetlabs/puppetlabs-sqlserver/blob/master/lib/puppet/provider/sqlserver_features/mssql.rb#L7-L8] by passing parameters to the installer. I suggest writing a custom installation provider for software requiring a service account is not a reasonable ask for a typical user who is an experienced Windows admin and nascent Puppet practitioner.

There is a large and growing amount of Microsoft enterprise software (SQL Server, SCOM, SCCM, SCVMM) that recommends or requires the use of a domain service account, and there's not currently a good way to address it. Feature parity (and perhaps going a little further to support Domain Accounts) would be a good start, especially if this exec allows users to get the automation done while we determine if other features are needed. (For instance, passing a Microsoft Domain user credential to the package resource).

Finally, field experience indicates this is complicated further by Mandatory Access Controls.  These deny the ability of any service running as LocalSystem to interact with the wider world using domain credentials and there are no workarounds to disable them that don't break the integrity of the operating system",New Feature,PUP-8395,[],Exec Parity for Windows
"*Puppet Version:* 5.3.4
*Puppet Server Version:* 2018.1.0-rc8
*OS Name/Version:* various

{{/opt/puppetlabs/puppet/cache/locales/config.yaml}} often changes despite no code changes being made. It appears to be random.

The only changes are the names of the project and package, and that swaps between powershell and mongodb.

This has been going on for a while; I think it was present in Hoyt.

*Desired Behavior:*

No changes to locales.

*Actual Behavior:*

{code}
Info: Retrieving locales
Debug: Dynamically-bound server lookup failed, falling back to server setting
Debug: Dynamically-bound port lookup failed; falling back to masterport setting
Debug: Failed to load library 'msgpack' for feature 'msgpack': cannot load such file -- msgpack
Debug: Puppet::Network::Format[msgpack]: feature msgpack is missing
Debug: file_metadata supports formats: json pson yaml
Debug: Using cached connection for https://puppet.ops.puppetlabs.net:8140
Debug: Caching connection for https://puppet.ops.puppetlabs.net:8140
Debug: Using cached connection for https://puppet.ops.puppetlabs.net:8140
Debug: Caching connection for https://puppet.ops.puppetlabs.net:8140
Debug: Executing: 'diff -u /opt/puppetlabs/puppet/cache/locales/config.yaml /tmp/puppet-file20180124-8206-1t5hn79'
Notice: /File[/opt/puppetlabs/puppet/cache/locales/config.yaml]/content: 
--- /opt/puppetlabs/puppet/cache/locales/config.yaml	2018-01-24 23:18:17.000000000 -0800
+++ /tmp/puppet-file20180124-8206-1t5hn79	2018-01-24 23:24:12.000000000 -0800
@@ -4,11 +4,11 @@
 gettext:
   # This is used for the name of the .pot and .po files; they will be
   # called <project_name>.pot?
-  project_name: puppetlabs-mongodb
+  project_name: puppetlabs-powershell
   # This is used in comments in the .pot and .po files to indicate what
   # project the files belong to and should bea little more desctiptive than
   # <project_name>
-  package_name: puppetlabs-mongodb
+  package_name: puppetlabs-powershell
   # The locale that the default messages in the .pot file are in
   default_locale: en
   # The email used for sending bug reports.

Debug: Using cached connection for https://puppet.ops.puppetlabs.net:8140
Debug: Caching connection for https://puppet.ops.puppetlabs.net:8140
Notice: /File[/opt/puppetlabs/puppet/cache/locales/config.yaml]/content: content changed '{md5}de7cdcbf7623f11daca5fa8cd11dc546' to '{md5}9560ee58ab338acc8caea792e44df8c9'
Debug: /File[/opt/puppetlabs/puppet/cache/locales/config.yaml]: The container /opt/puppetlabs/puppet/cache/locales will propagate my refresh event
Debug: Finishing transaction 48072140
Debug: Evicting cache entry for environment 'production'
Debug: Caching environment 'production' (ttl = 0 sec)
Debug: Loading external facts from /opt/puppetlabs/puppet/cache/facts.d
Debug: Facter: loading external fact directories from config file
{code}",Bug,PUP-8394,[],cache/locales/config.yaml not stable across runs
"I am trying to see what the {{tree_each}} function actually produces, to see how I could use it for complex tree transformations.

I went with the simplest approach first:
{noformat}
# t1.pp

$hash = {
  foo => bar,
  baz => [
    quux,
    { whatsit => whosit }
  ]
}

$tree = $hash.tree_each

$tree_array = Array($tree)
notice(inline_template('<% require ""pp""; pp @tree_array %>'))
{noformat}
The result was less than helpful:
{noformat}
$ puppet apply t1.pp
Error: Evaluation Error: Error while evaluating a Function Call, super: no superclass method `to_a' for #<Puppet::Pops::Types::Iterable::DepthFirstTreeIterator:0x0000000314be98>
Did you mean?  to_s at /home/vagrant/t1.pp:13:15 on node localhost
{noformat}

Next, I tried something [~henrik.lindberg] suggested:
{noformat}
# t2.pp

$hash = {
  foo => bar,
  baz => [
    quux,
    { whatsit => whosit }
  ]
}

$tree = $hash.tree_each

$tree_array = *$tree
notice(inline_template('<% require ""pp""; pp @tree_array %>'))
{noformat}
This gave me:
{noformat}
$ puppet apply t2.pp
[#<Puppet::Pops::Types::Iterable::DepthFirstTreeIterator:0x000000043feea0
  @containers_t=
   #<Puppet::Pops::Types::PVariantType:0x00000003451598
    @types=
     [#<Puppet::Pops::Types::PArrayType:0x00000003211df0
       @element_type=#<Puppet::Pops::Types::PAnyType:0x00000003204b00>,
       @size_type=nil>,
      #<Puppet::Pops::Types::PHashType:0x00000003211850
       @key_type=#<Puppet::Pops::Types::PAnyType:0x00000003204b00>,
       @size_type=nil,
       @value_type=#<Puppet::Pops::Types::PAnyType:0x00000003204b00>>,
      #<Puppet::Pops::Types::PObjectType:0x00000002c15de8
       @annotations=nil,
       @attributes={},
       @checks=nil,
       @equality=nil,
       @equality_include_type=true,
       @functions={},
       @name=nil,
       @parent=nil>]>,
  @current_path=[],
  @element_t=nil,
  @include_refs=false,
  @indexer_stack=[],
  @recursed=false,
  @root={""foo""=>""bar"", ""baz""=>[""quux"", {""whatsit""=>""whosit""}]},
  @value_stack=[{""foo""=>""bar"", ""baz""=>[""quux"", {""whatsit""=>""whosit""}]}],
  @with_containers=true,
  @with_root=true,
  @with_values=true>]
Notice: Scope(Class[main]):
Notice: Compiled catalog for localhost
{noformat}
Again, not very useful.

I tried passing the results of the {{*}} operator to the {{Array}} conversion...
{noformat}
# t3.pp

$hash = {
  foo => bar,
  baz => [
    quux,
    { whatsit => whosit }
  ]
}

$tree = $hash.tree_each

$tree_array = Array(*$tree)
notice(inline_template('<% require ""pp""; pp @tree_array %>'))
{noformat}
and got the same as the first attempt:
{noformat}
$ puppet apply t3.pp
Error: Evaluation Error: Error while evaluating a Function Call, super: no superclass method `to_a' for #<Puppet::Pops::Types::Iterable::DepthFirstTreeIterator:0x00000004b52878>
Did you mean?  to_s at /home/vagrant/t3.pp:13:15 on node localhost
{noformat}

Finally, I used a {{map}} to convert it to itself:
{noformat}
# t4.pp

$hash = {
  foo => bar,
  baz => [
    quux,
    { whatsit => whosit }
  ]
}

$tree = $hash.tree_each

$tree_array = $tree.map |$idx,$val| { [ $idx, $val ] }
notice(inline_template('<% require ""pp""; pp @tree_array %>'))
{noformat}
and this gave something useful:
{noformat}
$ puppet apply t4.pp
[[0, [[], {""foo""=>""bar"", ""baz""=>[""quux"", {""whatsit""=>""whosit""}]}]],
 [1, [[""foo""], ""bar""]],
 [2, [[""baz""], [""quux"", {""whatsit""=>""whosit""}]]],
 [3, [[""baz"", 0], ""quux""]],
 [4, [[""baz"", 1], {""whatsit""=>""whosit""}]],
 [5, [[""baz"", 1, ""whatsit""], ""whosit""]]]
Notice: Scope(Class[main]):
Notice: Compiled catalog for localhost
{noformat}

[~henrik.lindberg] told me to submit a ticket, so here I am. :)",Bug,PUP-8393,[],Standard Array conversions do not work on return value from tree_each function
"The behavior described in PUP-8263 is present in 4.10.x. The relevant code changes were checked into the parent ticket PUP-8225. All of the buggy code from PUP-8225 is present in 4.10.x, but is masked by an additional issue in that code base. Most likely all code from PUP-8225 needs to be back ported together.
",Task,PUP-8392,[],Back Port PUP-8225 into 4.10.z
"(Initial planned release date: 2018-01-31)

",Task,PUP-8391,['release'],Communicate scope and timeline of next release (Puppet Platform 5.3.4)
"(Initial planned release date: 2018-01-31)

",Task,PUP-8390,['release'],Update Confluence and JIRA based on release (Puppet Platform 5.3.4)
"(Initial planned release date: 2018-01-31)

",Task,PUP-8389,['release'],Declare Ready to Ship (go/no-go) milestone (Puppet Platform 5.3.4)
"(Initial planned release date: 2018-01-31)

",Task,PUP-8388,['release'],Prepare release announcement (Puppet Platform 5.3.4)
"(Initial planned release date: 2018-01-31)

",Task,PUP-8387,['release'],Declare Stop Ship Line (code complete) milestone (Puppet Platform 5.3.4)
"(Initial planned release date: 2018-01-31)

",Task,PUP-8386,['release'],Prepare JIRA for release (Puppet Platform 5.3.4)
"    Puppet Platform 5.3.4 Release - 2018-01-31
",Epic,PUP-8385,[],"    Puppet Platform 5.3.4 Release - 2018-01-31
"
"*Puppet Version:5.3.3*
*Puppet Server Version:5.3.3*
*OS Name/Version: Centos 6.9*

While running the test cases using a puppet user I am facing below test case failure.
Failures details:

  1) Puppet::Transaction when filtering with tags should propagate events correctly from a tagged container when running with tags
     Failure/Error: expect(Puppet::FileSystem.exist?(file1)).to be_truthy

       expected: truthy value
            got: false
     # ./spec/integration/transaction_spec.rb:371:in `block (3 levels) in <top (required)>'

Finished in 3.16 seconds (files took 1.09 seconds to load)
24 examples, 1 failure

Failed examples:

rspec ./spec/integration/transaction_spec.rb:344 # Puppet::Transaction when filtering with tags should propagate events correctly from a tagged container when running with tags

The same test case passes on when  run with a puppet user on RHEL 7.x

Thanks in advance
",Bug,PUP-8384,[],Test case failure observed 
"*Puppet Version: 5.3.3*
*Puppet Server Version: PE 2017.3*
*OS Name/Version: Ubuntu 16.4*

'puppet agent -t' changed /opt/puppetlabs/puppet/cache/facts.d]/mode to 0777. This happens on nodes with no custom code yet.

Here is the command line output:

Info: Using configured environment 'production'
Info: Retrieving pluginfacts
Notice: /File[/opt/puppetlabs/puppet/cache/facts.d]/mode: mode changed '0755' to '0777'
Info: Retrieving plugin
Info: Loading facts
Info: Caching catalog for puppet.local
Info: Applying configuration version '1516773686'
Notice: Applied catalog in 11.56 seconds
",Bug,PUP-8383,[],/opt/puppetlabs/puppet/cache/facts.d]/mode: mode changed '0755' to '0777'
"1) Check that the version number in source for puppet is correct

  version for puppet should be 4.10.10

  * check {{lib/puppet/version.rb}} for the {{PUPPETVERSION}} variable
  * check .gemspec for {{version}} variable

",Task,PUP-8382,[],Bump puppet version to 4.10.10
"*Puppet Version:4.10.x

When modifying users and passing in `--warndays` (a feature introduced in https://github.com/puppetlabs/puppet/commit/31089218e84e898e4b2388bf1ed98e08bf892968), the useradd module does not correctly handle this flag. It is supposed to use either `usermod` or `chage` depending on which aspect it is modifying, but the regex set up to catch this misses the warn days scenario (https://github.com/puppetlabs/puppet/blob/4d96086ac88b34f3ed78d61a14e246016db22b17/lib/puppet/provider/nameservice/objectadd.rb#L16). Currently, it only catches and properly handles those flags that deal with password age.

*Desired Behavior: When specifying option `:password_warn_days`, use command defined for `:password' or `:localpassword`.


*Actual Behavior: When passing in `:password_warn_days`, command is set to `:modify` or `:localmodify`.",Bug,PUP-8381,[],modifycmd does not correctly catch and handle the `password_warn_days` option
"The Puppet parser appears to consider a plan with a parameter with a leading underscore as valid, such as
{code}
plan test::foo(String $_arg) { }
{code}

https://puppet.com/docs/puppet/5.3/lang_reserved.html#parameters notes them as invalid for classes and defined types. I would've expected plans to behave the same, and we have design assumptions around reserving leading underscore names for meta params to {{run_plan}}. So this plan (for example) would be unrunnable in Bolt.

----

This description reflected an incorrect understanding of parameter naming. Leading underscores are only inaccessible from the global scope.",Bug,PUP-8380,[],Puppet considers plan with invalid parameter name as valid
"The translations string for this japanese string is wrong, it uses the wrong variable name:

{code}
#: ../lib/puppet/error.rb:68 ../lib/puppet/parser/compiler.rb:39
msgid ""%{message} on node %{node}""
msgstr ""ノード%{node}の%{msg}""
{code}

so you end up with untranslated variable names:
{code}
        Info: 設定された環境'puppet_agent_l4rs2vm1'を使用しています。
        Info: pluginfactsを取得しています。
        Info: pluginを取得しています。
        Info: localesを取得しています。
        Info: factsを読み込んでいます。
        Error: Facter: error while resolving custom fact ""i18ndemo_fact"": eputnam-i18ndemo fact: これはeputnam-i18ndemoからのカスタムファクトからのレイズです
        Error: リモートサーバからカタログを取得できませんでした: SERVERのエラー500 : サーバエラー: ノード%{node}の%{msg}
        Warning: 失敗したカタログではキャッシュを使用できません。
        Error: カタログを取得できませんでした; 実行をスキップしています。
{code}",Bug,PUP-8379,[],translation string uses wrong variable names
"*Puppet 5.4.0:*
*N/A:*
*Redhat7- FIPS mode:*

FIPS mode prohibits use of certain algorithms e.g. MD5 (as applicable to puppet currently) and any attempt to use them results in abrupt program termination or abort. While customers using Puppet agents on FIPS mode platforms should be aware of such limitations there might be un-intentional usages which will result in user un-friendly errors. 
We need to intercept any such prohibited usages at runtime and provide graceful error messages. 
Create a manifest with a file resource while setting its checksum attribute to md5 and attempt applying it on agent in fips mode. 

Expected: Provide a graceful error while disallowing the operation.

Actual: Error ""md5_dgst.c(82): OpenSSL internal error, assertion failed: Digest MD5 forbidden in FIPS mode!
Aborted""

",Task,PUP-8378,[],Intercept use of any prohibited algorithms/operations in FIPS mode to provide graceful error messages
"The test tests/i18n/modules/puppet_apply_unsupported_lang.rb is intended to verify that we can get all warning and error messages when we ask for an unsupported language on the system. In this case even if you don't ask for a different language then the default, we don't see the 'raise' message we're expecting from the custom fact:

{code}
      pfuqyhk1tw6udul.delivery.puppetlabs.net (solaris10-64-1) 08:49:51$ puppet apply -e ""class { 'i18ndemo': filename => '/tmp/provider.LpaqLb' }""
        Warning: This method is deprecated, please use the stdlib validate_legacy function,
                            with Stdlib::Compat::Absolute_Path. There is further documentation for validate_legacy function in the README. at [""/etc/puppetlabs/code/environments/production/modules/i18ndemo/manifests/init.pp"", 15]:
           (at /etc/puppetlabs/code/environments/production/modules/stdlib/lib/puppet/functions/deprecation.rb:28:in `deprecation')
        Warning: Scope(Class[I18ndemo]): Creating an i18ndemo file
        Notice: Compiled catalog for pfuqyhk1tw6udul.delivery.puppetlabs.net in environment production in 0.06 seconds
        Warning: /Stage[main]/I18ndemo/File[/tmp/provider.LpaqLb]: Ensure set to :present but file type is directory so no content will be synced
        Notice: Applied catalog in 0.02 seconds
{code}

The problem is that module is getting the openssl version available (which there isn't one in the path on the solaris 10 boxes). Since its its not set we don't raise.

{code}
opensslv = Facter::Util::Resolution.exec('openssl version')
    raise _('i18ndemo_fact: this is a raise from a custom fact from eputnam-i18ndemo') if opensslv
{code}

We should change the module to always raise an error and re-enable the test on solaris10
",Bug,PUP-8377,[],solaris 10 doesn't show raise from custom fact because module expects openssl in the path
"*Puppet Version:* 5.3.4

Please add a setting that causes the agent to switch to a specific environment, e.g. production, when the agent-specified environment does not exist.

Our workflow:

# Deploy a feature branch, e.g. change_ntp_server
# Switch a node over to the feature branch for development, e.g. {{sudo puppet config set --section agent environment change_ntp_server}}
# Run puppet, update branch, run puppet…
# Merge the feature branch into production
# Delete the feature branch
# Our custom puppet wrapper detects that the change_ntp_server environment no longer exists, and switches the environment back to production

I don't particularly care if it switches the environment for just that run, or changes it in the configuration file.

We are currently using a python script to wrap puppet, but I've ported it to Go and we'll deploy that soon: [puppetlabs-operations/puppet-cron|https://github.com/puppetlabs-operations/puppet-cron].",New Feature,PUP-8376,[],Revert to production when agent-specified environment doesn't exist
"Previous to the release of Amazon Linux v2, facter reported the version of Amazon Linux as a date-based string, e.g ""2017.09"". In Amazon Linux v2, this has changed to ""2.0"". 

The code changes previously made in Puppet's service provider code and acceptance tests have  incorrectly assumed that Amazon Linux v2 returns a version of ""2017.12"" and will need to be updated to work with ""2.0"" instead.",Bug,PUP-8375,[],"Amazon Linux v2 detection is broken (os.version is 2.0, not 2017.12)"
"When we execute commands to create, set, and modify something on the system, we should be maintaining a consistent environment. Currently, when we create that thing, we're passing in a custom environment (as defined in {{lib/puppet/provider/nameservice.rb}})

{code}
167   def create
168     if exists?
169       info _(""already exists"")
170       # The object already exists
171       return nil
172     end
173
174     begin
175       execute(self.addcmd, {:failonfail => true, :combine => true, :custom_environment => @custom_environment})
176       if feature?(:manages_password_age) && (cmd = passcmd)
177         execute(cmd)
178       end
179     rescue Puppet::ExecutionFailure => detail
180       raise Puppet::Error, _(""Could not create %{resource} %{name}: %{detail}"") % { resource: @resource.class.name, name: @resource.name, detail: detail }, detail.backtrace
181     end
182   end
{code}

but not when we set or delete with the same command
{code}
184   def delete
185     unless exists?
186       info _(""already absent"")
187       # the object already doesn't exist
188       return nil
189     end
190
191     begin
192       execute(self.deletecmd)
193     rescue Puppet::ExecutionFailure => detail
194       raise Puppet::Error, _(""Could not delete %{resource} %{name}: %{detail}"") % { resource: @resource.class.name, name: @resource.name, detail: detail }, detail.backtrace
195     end
196   end
.
.
.
299   def set(param, value)
300     self.class.validate(param, value)
301     cmd = modifycmd(param, munge(param, value))
302     raise Puppet::DevError, _(""Nameservice command must be an array"") unless cmd.is_a?(Array)
303     begin
304       execute(cmd)
305     rescue Puppet::ExecutionFailure => detail
306       raise Puppet::Error, _(""Could not set %{param} on %{resource}[%{name}]: %{detail}"") % { param: param, resource: @resource.class.name, name: @resource.name, detail: detail },     detail.backtrace
307     end
308   end
{code}

All of these execution environments should be consistent, if that is the desired behavior defined in the provider.",Bug,PUP-8374,[],NameService inconsistent with setting the environment in which commands are executed
"In order to facilitate use of the CLI {{puppet lookup}} by non-root users who want to perform a lookup in terms of a particular node without having to have a fully-trusted and PuppetDB-whitelisted certificate, it would be great if {{lookup}} would look for and use any PE RBAC tokens to obtain access when getting the facts from PuppetDB.
",Improvement,PUP-8373,[],Lookup CLI should use RBAC token if available for PuppetDB
